FrameTime,GPUTime,GameThreadTime,GPU/LumenReflections,GPU/LumenScreenProbeGather,GPU/ShadowDepths,GPU/TemporalSuperResolution,GPUMem/LocalUsedMB,GPUMem/LocalBudgetMB
28690.9590,0,0,0.3338,0.052500,6.8503,4.2579,0,0
1119.8434,0,0,0.5296,0.012000,8.4154,6.0918,0,0
32.7295,186.8925,524.0297,3.6322,0.010000,7.9266,4.4503,3166.5078,5153
12.5135,186.8925,27.2981,2.8795,0.014000,2.0131,4.4637,0,0
59.0588,186.8925,10.9537,3.0125,0.013500,2.3421,4.5046,3716.2969,5153
67.6421,33.1515,9.6742,3.1038,0.014200,2.8746,3.6208,3812.9219,5153
36.5400,37.5306,7.8372,2.4452,0.014400,2.0841,3.6823,3813.1719,5153
26.8638,30.5994,7.6026,2.6257,0.010800,2.4726,3.5573,3845.4219,5153
34.0693,32.1920,7.5136,2.4638,0.011400,2.9581,3.5532,3837.8594,5153
30.5026,30.8987,6.7157,2.5916,0.010200,3.1043,3.5655,3602.1719,5153
26.7583,25.8216,5.2592,2.4526,0.011200,3.0152,3.5800,3604.1719,5153
28.3784,26.3297,8.1455,2.3983,0.011500,1.2137,3.7315,3604.1719,5153
25.8917,25.4176,4.9414,2.3224,0.011300,1.3840,3.6681,3596.6719,5153
25.3167,25.8002,6.0909,2.1546,0.009900,1.1009,3.5236,3596.6719,5153
29.9607,25.2112,7.3746,2.2527,0.009100,0.8798,3.8318,3596.6719,5153
26.4536,26.0253,7.9677,2.5724,0.010000,1.0453,3.5646,3596.9219,5153
32.5553,25.6222,7.8179,2.5118,0.010200,0.9427,3.5318,3597.1719,5153
16.6345,25.1086,8.5607,2.3418,0.009500,1.1663,3.7562,3597.1719,5153
27.2320,25.9966,9.1444,2.1157,0.012000,0.9012,3.5769,3661.4219,5153
25.3949,25.5632,8.4685,2.1688,0.015500,1.3945,3.5768,3661.4219,5153
28.8337,24.5521,5.7894,2.0675,0.010500,0.9534,3.5779,3661.4219,5153
24.6144,25.9862,10.7318,2.1617,0.010700,1.0967,3.7191,3661.4219,5153
26.8289,25.2492,4.1763,2.5016,0.010800,1.0068,3.4857,3661.4219,5153
25.6011,25.0467,4.9598,2.7147,0.009800,1.0243,3.6198,3661.4219,5153
41.6580,24.4727,6.6983,2.7136,0.009900,0.9468,3.5994,0,0
20.7352,25.4735,6.8925,2.6706,0.015200,1.0948,3.6075,3661.6719,5153
23.0143,23.6646,6.1628,1.9854,0.014200,0.9744,3.7039,3661.6719,5153
26.4926,24.9548,6.8009,2.4073,0.012500,1.3768,3.6147,3661.6719,5153
30.0979,24.4554,7.3607,2.2271,0.010400,1.1667,3.6454,3661.6719,5153
25.0132,25.6231,5.7280,2.2323,0.010100,1.1864,3.6978,3662.6719,5153
25.1784,25.5362,8.4656,2.4792,0.010500,0.9438,3.6547,3662.6719,5153
25.3922,25.4903,8.3082,2.4249,0.009800,1.0086,3.5942,3662.6719,5153
26.6051,25.1830,4.9247,2.4185,0.009600,0.9205,3.7264,3662.6719,5153
28.5150,25.7483,5.1774,2.3848,0.013700,1.0258,3.6014,3662.6719,5153
24.5909,25.3570,5.3606,2.2294,0.010200,0.9353,3.6026,3663.6719,5153
24.0965,25.2403,4.6672,2.4391,0.010200,0.9681,3.5596,3663.6719,5153
25.6030,25.4879,6.7038,2.2427,0.010700,0.9434,3.7714,3665.6719,5153
27.3304,25.5092,7.5025,2.4074,0.010200,1.1127,3.6280,3666.6719,5153
28.3608,25.5520,7.8670,2.2211,0.014800,1.1239,3.6118,3666.9219,5153
24.5601,25.3418,7.4756,2.1863,0.010600,1.1748,3.7346,3666.9219,5153
26.8729,25.9528,5.4393,2.3695,0.009600,1.1335,3.7601,3666.9219,5153
27.2324,25.3032,6.8113,2.5058,0.011000,1.0860,3.7365,3666.9219,5153
25.4616,25.0758,6.6310,2.2845,0.010900,1.0034,3.7192,3666.9219,5153
27.5000,25.4523,4.6825,2.4526,0.010500,1.0200,3.7407,3666.9219,5153
27.8704,25.9081,4.3661,2.2816,0.011200,1.0023,3.6987,3666.9219,5153
25.7569,25.5721,5.0488,2.3932,0.010500,1.0318,3.7407,3666.9219,5153
23.9046,25.6366,5.0008,2.2856,0.015400,1.1141,3.7468,3667.9219,5153
27.2747,25.9114,6.7548,2.2487,0.012700,1.0127,3.7571,3669.9219,5153
25.0096,25.1814,6.7133,2.1309,0.013200,1.0750,3.6774,3669.9219,5153
27.8566,25.9316,6.9551,2.3398,0.012200,1.2812,3.8328,3669.9219,5153
26.6578,26.0869,6.5268,2.2610,0.012400,1.1493,3.7897,3669.9219,5153
27.5136,26.0955,6.0476,2.2918,0.010100,1.1143,3.7118,3670.9219,5153
27.1473,25.3627,6.7117,2.3879,0.010600,1.1031,3.8031,3670.9219,5153
27.7302,26.2608,5.8812,2.3349,0.010600,1.1237,3.7263,3670.9219,5153
26.1486,26.3181,5.5980,2.2497,0.010200,1.0583,3.6915,3670.9219,5153
27.5243,25.4311,5.9756,2.1330,0.010000,1.0798,3.7479,3671.9219,5153
26.1232,25.9962,4.7354,2.4679,0.010300,0.9756,3.6822,3671.9219,5153
28.2211,25.6662,4.8656,2.2282,0.009500,0.8844,3.6782,3671.9219,5153
